GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
2977	1.55e-286	2.02e-289	0.1125	-36.357208	-4.0900072	734.63	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2
158471	1.71e-283	2.33e-286	0.0612	36.162905	2.2119701	1687.19	PRUNE2	prune homolog 2 with BCH domain
633	2.01e-283	2.85e-286	0.0541	36.157376	1.9560674	10724.38	BGN	biglycan
948	2.13e-280	3.15e-283	0.1222	-35.963205	-4.3939188	776.93	CD36	CD36 molecule
10631	6.25e-277	9.57e-280	0.0631	35.739689	2.2557101	3014.48	POSTN	periostin
11010	3.80e-260	6.03e-263	0.0429	34.64134	1.485616	6039.84	GLIPR1	GLI pathogenesis related 1
2335	1.08e-258	1.78e-261	0.0391	34.543598	1.3507232	354338.35	FN1	fibronectin 1
100132116	8.64e-256	1.47e-258	0.057	34.348756	1.9572381	2195.2	ACTA2-AS1	ACTA2 antisense RNA 1
55332	1.10e-251	1.93e-254	0.0398	-34.071862	-1.3560075	17799.39	DRAM1	DNA damage regulated autophagy modulator 1
54674	2.41e-251	4.38e-254	0.0864	-34.047757	-2.9429651	880.92	LRRN3	leucine rich repeat neuronal 3
1958	4.31e-251	8.06e-254	0.0511	34.029852	1.7378656	6629.48	EGR1	early growth response 1
7042	6.22e-250	1.20e-252	0.0828	-33.950522	-2.81248	833.68	TGFB2	transforming growth factor beta 2
6857	2.78e-232	5.52e-235	0.0963	-32.731749	-3.1510591	765.11	SYT1	synaptotagmin 1
1513	1.03e-231	2.10e-234	0.0424	-32.690942	-1.3853793	7235.91	CTSK	cathepsin K
375790	1.70e-229	3.56e-232	0.038	-32.533734	-1.2357959	8193.57	AGRN	agrin
9588	3.73e-222	8.05e-225	0.0376	-32.009483	-1.2032169	26050.29	PRDX6	peroxiredoxin 6
8622	2.86e-221	6.33e-224	0.0718	-31.945038	-2.2931398	1161.63	PDE8B	phosphodiesterase 8B
2151	2.36e-220	5.34e-223	0.0624	-31.878274	-1.9893629	1268.21	F2RL2	coagulation factor II thrombin receptor like 2
2760	1.76e-210	4.08e-213	0.0564	-31.156969	-1.7572556	3067.06	GM2A	ganglioside GM2 activator
8613	2.44e-210	5.80e-213	0.0511	31.145677	1.5918363	2333.31	PLPP3	phospholipid phosphatase 3
130271	1.25e-208	3.05e-211	0.0912	-31.018348	-2.8278519	672.03	PLEKHH2	pleckstrin homology, MyTH4 and FERM domain containing H2
5919	2.29e-208	5.72e-211	0.0673	-30.998106	-2.0848581	1497.38	RARRES2	retinoic acid receptor responder 2
25825	1.30e-206	3.32e-209	0.0543	-30.866925	-1.6750095	1846.44	BACE2	beta-secretase 2
283078	7.54e-201	1.97e-203	0.0404	-30.433745	-1.2296073	4854.44	MKX	mohawk homeobox
5796	6.68e-199	1.78e-201	0.0392	-30.285494	-1.1870737	7046.51	PTPRK	protein tyrosine phosphatase receptor type K
272	2.35e-197	6.40e-200	0.0723	-30.167112	-2.1804538	2112.17	AMPD3	adenosine monophosphate deaminase 3
2192	3.76e-197	1.05e-199	0.0432	-30.150837	-1.3037981	49008.65	FBLN1	fibulin 1
3485	9.32e-196	2.64e-198	0.0647	-30.043674	-1.9439354	2136.44	IGFBP2	insulin like growth factor binding protein 2
8482	2.02e-195	5.85e-198	0.052	30.017223	1.5595401	4405.81	SEMA7A	semaphorin 7A (John Milton Hagen blood group)
27242	1.85e-194	5.47e-197	0.0784	-29.942765	-2.3478871	1014.86	TNFRSF21	TNF receptor superfamily member 21
10867	3.59e-194	1.08e-196	0.0534	-29.920086	-1.5981786	2190.45	TSPAN9	tetraspanin 9
389558	2.79e-193	8.54e-196	0.0645	29.850919	1.9243363	1565.21	FAM180A	family with sequence similarity 180 member A
