"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"WP","Vitamin B12 metabolism","WP:WP1533","false","0.0003919527020318675","3.4067663372803043","33","772","10","16535","CCL5,SAA2,IL1B,SAA1,SOD2,SOD3,CCL2,ICAM1,SCARB1,ABCA1"
"WP","Prostaglandin signaling","WP:WP5088","false","0.000403592590400031","3.394056815621249","20","772","8","16535","IL1B,IL1A,AREG,CXCL1,CCL2,IL12A,CXCL8,CASP1"
"WP","Type II interferon signaling","WP:WP619","false","0.0005356690497650619","3.271103445851438","27","772","9","16535","OAS1,IL1B,IFI6,SOCS1,HLA-B,ICAM1,H4C14,ISG15,SPI1"
"WP","Lung fibrosis","WP:WP3624","false","0.0005888649953890949","3.229984261202819","42","772","11","16535","CCL11,CCL5,IL1B,CSF2,CSF3,IGF1,CCL2,CXCL2,CXCL8,EGF,HGF"
"WP","Hematopoietic stem cell differentiation","WP:WP2849","false","0.000714058325133797","3.146266313084845","35","772","10","16535","IL1B,IL1A,CSF2,FOSB,CSF3,TRIM29,FOS,IRF5,SPI1,THRB"
"WP","Platelet mediated interactions with vascular and circulating cells","WP:WP4462","false","0.0009312997989455514","3.0309104908031017","11","772","6","16535","CCL5,IL1B,TGFB2,TLR2,CCL2,ICAM1"
"WP","Macrophage stimulating protein MSP signaling","WP:WP5353","false","0.0018459529608736344","2.7337793699912005","95","772","16","16535","CLDN1,IL1B,CSF2,CSF3,OCLN,SOCS1,CXCL1,DUSP4,CCL2,DUSP6,FOS,CXCL2,CXCL8,CXCL5,PPARGC1A,CDH2"
"WP","Tessadori Bicknell van Haaften syndrome variants nucleosome assembly","WP:WP5573","false","0.003190960211614673","2.4960786110317867","13","772","6","16535","H4C8,H4C5,H2BC12,H4C16,H4C15,H4C14"
"WP","SARS CoV 2 innate immunity evasion and cell specific immune response","WP:WP5039","false","0.0036517460847024733","2.437499427700257","50","772","11","16535","CCL5,CSF2,CXCL6,MX1,CXCL1,CCL2,CXCL3,CXCL2,CXCL8,CXCL5,RIGI"
"WP","Selenium micronutrient network","WP:WP15","false","0.0042328848812538695","2.3733635425621453","60","772","12","16535","SAA2,IL1B,SAA1,SOD2,SOD3,CCL2,DIO2,GGT1,ICAM1,SCARB1,ABCA1,KMO"
"WP","Cytokines and inflammatory response","WP:WP530","false","0.005363651830519092","2.2705394211619536","14","772","6","16535","IL1B,IL1A,CSF2,CSF3,CXCL1,CXCL2"
"WP","Folate metabolism","WP:WP176","false","0.006590291193702508","2.181095395569237","44","772","10","16535","SAA2,IL1B,SAA1,SOD2,SOD3,CCL2,ICAM1,SCARB1,ABCA1,FOLR3"
"WP","Spinal cord injury","WP:WP2431","false","0.008777764815326257","2.0566160594872116","85","772","14","16535","PTPRZ1,IL1B,IL1A,CXCL1,MMP12,BTG2,SEMA6A,CCL2,FOS,ICAM1,CXCL2,NOX4,NTN1,CXCL8"
"WP","NOTCH1 regulation of endothelial cell calcification","WP:WP3413","false","0.019592141852743553","1.707918083454966","17","772","6","16535","DLL4,GJA5,ALPL,MGP,JAG2,SOX6"
"WP","COVID 19 adverse outcome pathway","WP:WP4891","false","0.03577111748370895","1.4464674923523522","7","772","4","16535","IL1B,CSF3,CCL2,CXCL8"
"WP","Burn wound healing","WP:WP5055","false","0.04166949618078314","1.3801817504961305","54","772","10","16535","IL1B,TGFB2,FOXE1,CXCL1,CCL2,ICAM1,NOX4,CXCL8,EGF,HGF"
"WP","Allograft rejection","WP:WP2328","false","0.04759628142991914","1.3224269762196557","45","772","9","16535","C3,IL1B,IL1A,ABCB1,IL12A,HLA-B,BHMT2,CXCL8,HLA-F"
"WP","Post COVID neuroinflammation","WP:WP5485","false","0.04999306050827573","1.301090275506454","13","772","5","16535","CCL11,IL1B,IL1A,IL12A,CXCL8"
"MIRNA","hsa-mir-335-5p","MIRNA:hsa-mir-335-5p","false","0.0000027558002195468055","5.559752269599419","1593","772","131","16535","EHF,CLDN1,OAS1,CD36,LONRF2,WNT7B,IL1A,GUCY1A2,AREG,CYP7B1,EREG,SCN3B,RUNDC3B,TACSTD2,OAS2,SYT1,SLC16A6,GNA14,ASTN1,PLEKHH2,TGFB2,ASPN,IVL,RGS7BP,LHX9,OCLN,TLR2,NRK,CABP5,ITGB4,RGCC,CCND2,CFI,ZMAT1,AMPD3,GCNT2,PDZD4,PODXL2,RARRES2,LIPG,NUP210,MTUS1,L1CAM,PPM1H,IGFBP2,BEX2,LRRN1,RRAD,LEPR,LOXL4,F11R,CCDC69,TMEM178A,MGP,JAG2,SLCO4A1,CYGB,LLGL2,TMEM217,QPRT,CLIC2,PLEKHA7,ABCA3,C1QTNF1,B4GALT6,DUSP6,CXCL3,PARD6B,GPRC5C,ADAMTS12,TRIM29,ATOSA,KALRN,SLC5A3,TPCN1,CTSF,TSPAN15,ARRB1,SGCD,FOS,CNIH3,WNT9A,PLCG2,RGS16,C8G,PREX2,SPTBN2,C6ORF141,ICAM1,GDF15,KLF8,ADAM21,ADAM8,IGDCC4,CXCL2,DKK2,ABCA7,BMP2,ANO3,JAKMIP3,TNFSF9,RHBDF2,MOV10L1,BATF2,POPDC2,LTK,GPR37,MAFB,NTN4,SPATA18,RRAGD,ITPR2,NDST3,PDZD2,SERPINB10,ACSL5,EFCAB5,ST6GAL1,PPARGC1A,TP53INP1,TM7SF2,RAB26,LZTS3,CTXN1,YPEL2,CDA,SATB1,NPTXR,SHC3,USP44,SLC52A1"
"HP","Decreased circulating complement factor H concentration","HP:0005369","false","0.009826261353733793","2.007611688911259","4","772","4","16535","CFI,CFHR3,CFHR1,CFH"
"HP","Decreased circulating complement factor I concentration","HP:0005356","false","0.009826261353733793","2.007611688911259","4","772","4","16535","CFI,CFHR3,CFHR1,CFH"
"HP","Microangiopathic hemolytic anemia","HP:0001937","false","0.04603801154528887","1.3368834425044065","14","772","6","16535","C3,GNA14,CFI,CFHR3,CFHR1,CFH"
"HP","Decreased circulating complement factor B concentration","HP:0005416","false","0.04730526630658745","1.3250905082985984","5","772","4","16535","CFI,CFHR3,CFHR1,CFH"
