GSM	Title	cell_line	Comparison	Status	Ensembl_ID	Gene	Raw_count	Total_counts	CPM
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	ENSG00000090339	ICAM1	1623	140808124	11.526323580591132
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	ENSG00000115008	IL1A	359	140808124	2.5495688018682787
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	ENSG00000147883	CDKN2B	1266	140808124	8.990958504638552
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	ENSG00000169429	CXCL8	22771	140808124	161.7165214132105
GSM3752532	IMR-90 PDL15 1	IMR-90	IMR90_Replicative	Control	ENSG00000170345	FOS	4696	140808124	33.35034845006528
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	ENSG00000090339	ICAM1	1506	139001848	10.83438833129758
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	ENSG00000115008	IL1A	342	139001848	2.460398943760805
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	ENSG00000147883	CDKN2B	1200	139001848	8.632978750037914
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	ENSG00000169429	CXCL8	18942	139001848	136.27156956934846
GSM3752533	IMR-90 PDL15 2	IMR-90	IMR90_Replicative	Control	ENSG00000170345	FOS	2412	139001848	17.352287287576203
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	ENSG00000090339	ICAM1	587	173939343	3.374739664274804
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	ENSG00000115008	IL1A	8	173939343	0.045993044828276715
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	ENSG00000147883	CDKN2B	2308	173939343	13.268993432957833
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	ENSG00000169429	CXCL8	398	173939343	2.2881539802067667
GSM3752536	IMR-90 PDL52 1	IMR-90	IMR90_Replicative	Senescent	ENSG00000170345	FOS	166	173939343	0.9543556801867419
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	ENSG00000090339	ICAM1	557	153904822	3.619119873969901
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	ENSG00000115008	IL1A	23	153904822	0.14944301095387383
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	ENSG00000147883	CDKN2B	2204	153904822	14.320538962710343
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	ENSG00000169429	CXCL8	174	153904822	1.1305688654771324
GSM3752537	IMR-90 PDL52 2	IMR-90	IMR90_Replicative	Senescent	ENSG00000170345	FOS	138	153904822	0.8966580657232429
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	ENSG00000090339	ICAM1	2404	141476461	16.992226007123545
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	ENSG00000115008	IL1A	26	141476461	0.18377615481913986
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	ENSG00000147883	CDKN2B	1074	141476461	7.591368856759853
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	ENSG00000169429	CXCL8	714	141476461	5.046775943879456
GSM3752538	WI-38 Dox- 1	WI-38	WI38_Doxorubicin	Control	ENSG00000170345	FOS	202	141476461	1.4277993566717788
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	ENSG00000090339	ICAM1	2730	162915801	16.757122287972546
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	ENSG00000115008	IL1A	36	162915801	0.22097304116007752
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	ENSG00000147883	CDKN2B	955	162915801	5.861923730774278
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	ENSG00000169429	CXCL8	1563	162915801	9.593912870366701
GSM3752539	WI-38 Dox- 2	WI-38	WI38_Doxorubicin	Control	ENSG00000170345	FOS	190	162915801	1.1662466061226313
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000090339	ICAM1	22169	310241652	71.45720072429218
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000115008	IL1A	94	310241652	0.30298961920174405
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000147883	CDKN2B	16122	310241652	51.9659429869204
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000169429	CXCL8	375	310241652	1.2087351829856812
GSM3752546	WI-38 Dox- 1 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000170345	FOS	8809	310241652	28.39399527178897
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000090339	ICAM1	25595	339671357	75.35224702505604
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000115008	IL1A	133	339671357	0.39155494644783956
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000147883	CDKN2B	13694	339671357	40.315439373358764
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000169429	CXCL8	408	339671357	1.2011610387272071
GSM3752547	WI-38 Dox- 2 Repeat	WI-38	WI38_Doxorubicin	Control	ENSG00000170345	FOS	3112	339671357	9.161796942448698
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	ENSG00000090339	ICAM1	7135	142369997	50.11589625867591
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	ENSG00000115008	IL1A	148	142369997	1.039544869836585
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	ENSG00000147883	CDKN2B	1677	142369997	11.779167207540223
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	ENSG00000169429	CXCL8	40663	142369997	285.6149529876017
GSM3752540	WI-38 Dox+ 1	WI-38	WI38_Doxorubicin	Senescent	ENSG00000170345	FOS	148	142369997	1.039544869836585
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	ENSG00000090339	ICAM1	8858	175530950	50.46403497502862
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	ENSG00000115008	IL1A	225	175530950	1.281825227972617
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	ENSG00000147883	CDKN2B	2195	175530950	12.504917223999527
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	ENSG00000169429	CXCL8	58452	175530950	333.0011032242462
GSM3752541	WI-38 Dox+ 2	WI-38	WI38_Doxorubicin	Senescent	ENSG00000170345	FOS	166	175530950	0.9457021681931307
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000090339	ICAM1	71174	321984151	221.04814718038716
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000115008	IL1A	306	321984151	0.9503573360665196
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000147883	CDKN2B	9624	321984151	29.88966994217054
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000169429	CXCL8	3812	321984151	11.83909204276331
GSM3752548	WI-38 Dox+ 1 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000170345	FOS	1827	321984151	5.67419233004422
GSM3752549	WI-38 Dox+ 2 Repeat	WI-38	WI38_Doxorubicin	Senescent	ENSG00000090339	ICAM1	28928	346257781	83.54469296388173
