GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
54549	5.39e-19	4.84e-20	0.2457	-9.167434	-2.2526518	67.69	SDK2	sidekick cell adhesion molecule 2
56892	2.36e-75	4.03e-77	0.1209	-18.587859	-2.2466625	1998.11	TCIM	transcriptional and immune response regulator
2537	0.0	0.0	0.0566	-39.49781	-2.2364724	1741.53	IFI6	interferon alpha inducible protein 6
894	3.83e-58	9.58e-60	0.1372	-16.301836	-2.2359315	250.7	CCND2	cyclin D2
64116	1.2899999999999999e-74	2.24e-76	0.1203	-18.495611	-2.2252578	439.6	SLC39A8	solute carrier family 39 member 8
103752584	0.000177	5.22e-05	0.5489	-4.045536	-2.2206314	13.36	CCND2-AS1	CCND2 antisense RNA 1
6692	1.71e-27	1.06e-28	0.1989	-11.114659	-2.2104638	118.27	SPINT1	serine peptidase inhibitor, Kunitz type 1
3426	9.319999999999999e-46	3.2400000000000003e-47	0.153	-14.43232	-2.2087455	227.11	CFI	complement factor I
728224	0.00262	0.000942	0.6668	-3.307445	-2.2052554	9.21	KRTAP4-8	keratin associated protein 4-8
84460	1.74e-07	3.57e-08	0.4	-5.51104	-2.2041482	25.93	ZMAT1	zinc finger matrin-type 1
9890	4.94e-37	2.21e-38	0.1701	-12.954766	-2.2036728	2512.54	PLPPR4	phospholipid phosphatase related 4
231	6.49e-301	7.73e-304	0.059	-37.258472	-2.198273	7953.61	AKR1B1	aldo-keto reductase family 1 member B
284756	0.00171	0.000597	0.638	-3.433076	-2.1903246	9.58	LINC02910	long intergenic non-protein coding RNA 2910
2327	0.000172	5.07e-05	0.5392	-4.052589	-2.1849668	14.86	FMO2	flavin containing dimethylaniline monoxygenase 2
729582	3.57e-35	1.67e-36	0.1728	-12.618259	-2.1808939	139.86	DIRC3	disrupted in renal carcinoma 3
272	2.3499999999999998e-197	6.400000000000001e-200	0.0723	-30.167112	-2.1804538	2112.17	AMPD3	adenosine monophosphate deaminase 3
114780	6.85e-42	2.64e-43	0.158	-13.797465	-2.1794605	185.9	PKD1L2	polycystin 1 like 2 (gene/pseudogene)
3859	0.00499	0.0019	0.7011	-3.106066	-2.1775625	8.18	KRT12	keratin 12
105374003	0.000399	0.000124	0.5674	-3.837544	-2.1773335	12.52	LOC105374003	uncharacterized LOC105374003
8503	1.5200000000000001e-65	3.2199999999999995e-67	0.1255	-17.321905	-2.1733168	259.34	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
80310	1.37e-41	5.33e-43	0.1579	-13.746748	-2.1707446	218.11	PDGFD	platelet derived growth factor D
105373962	0.000308	9.45e-05	0.5559	-3.90434	-2.1705227	13.41	LINC01937	long intergenic non-protein coding RNA 1937
2651	0.000578	0.000185	0.5799	-3.738494	-2.1677945	11.69	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)
100316868	1.24e-17	1.2e-18	0.2457	-8.815032	-2.1656919	64.4	HOTTIP	HOXA distal transcript antisense RNA
57595	5.46e-23	4.18e-24	0.2128	-10.127357	-2.1546005	86.0	PDZD4	PDZ domain containing 4
100287082	1.41e-06	3.18e-07	0.4184	-5.112573	-2.1391004	21.87	GACAT2	gastric cancer associated transcript 2
101928583	0.00103	0.000343	0.5954	-3.580747	-2.1320327	10.93	SLC7A14-AS1	SLC7A14 antisense RNA 1
50512	4.78e-23	3.6499999999999996e-24	0.2102	-10.140618	-2.1312446	89.11	PODXL2	podocalyxin like 2
5069	0.0	0.0	0.0456	-46.767336	-2.1310128	4204.61	PAPPA	pappalysin 1
110117499	1.85e-52	5.33e-54	0.1371	-15.472358	-2.1215016	213.91	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough
388021	0.000115	3.27e-05	0.5105	-4.153542	-2.1201853	15.61	TMEM179	transmembrane protein 179
2702	4.25e-30	2.43e-31	0.1817	-11.645271	-2.1158463	128.42	GJA5	gap junction protein alpha 5
3745	1.0499999999999999e-23	7.73e-25	0.2054	-10.291091	-2.1138461	101.18	KCNB1	potassium voltage-gated channel subfamily B member 1
493913	6.54e-136	3.75e-138	0.0842	-25.019563	-2.1070617	702.81	PAPPA-AS1	PAPPA antisense RNA 1
117283	4.06e-11	5.96e-12	0.306	-6.880528	-2.1056332	41.21	IP6K3	inositol hexakisphosphate kinase 3
112268439	1.69e-07	3.44e-08	0.3805	-5.517246	-2.09954	27.03	LOC112268439	uncharacterized LOC112268439
107984745	0.000548	0.000175	0.5586	-3.753048	-2.0964946	12.38	LOC107984745	
100132735	7.25e-18	6.93e-19	0.235	-8.876013	-2.085876	79.06	FILNC1	FOXO induced long non-coding RNA 1
5919	2.2900000000000003e-208	5.72e-211	0.0673	-30.998106	-2.0848581	1497.38	RARRES2	retinoic acid receptor responder 2
8794	5.52e-62	1.26e-63	0.1234	-16.838934	-2.0772345	261.02	TNFRSF10C	TNF receptor superfamily member 10c
9472	1.2e-158	5.03e-161	0.0768	-27.039851	-2.0767179	802.14	AKAP6	A-kinase anchoring protein 6
100507466	0.000627	0.000202	0.5565	-3.716656	-2.0684733	12.4	DPH6-DT	DPH6 divergent transcript
3479	3.87e-13	4.98e-14	0.2739	-7.532317	-2.0632089	55.71	IGF1	insulin like growth factor 1
100131604	2.6700000000000003e-32	1.38e-33	0.1707	-12.077734	-2.061341	133.39	DPP4-DT	DPP4 divergent transcript
9388	1.08e-11	1.53e-12	0.2914	-7.071934	-2.0607022	45.62	LIPG	lipase G, endothelial type
105371618	4.34e-14	5.22e-15	0.2631	-7.821573	-2.0581662	59.71	LOC105371618	uncharacterized LOC105371618
8367	0.00413	0.00155	0.6491	-3.165615	-2.0546892	8.98	H4C5	H4 clustered histone 5
3772	1.78e-09	3e-10	0.3254	-6.298888	-2.0497526	37.76	KCNJ15	potassium inwardly rectifying channel subfamily J member 15
8651	3.8100000000000002e-31	2.07e-32	0.1728	-11.853278	-2.0487726	130.29	SOCS1	suppressor of cytokine signaling 1
105378858	3.82e-05	1.02e-05	0.4643	-4.412517	-2.0486241	18.67	LOC105378858	uncharacterized LOC105378858
2919	8.58e-82	1.29e-83	0.1057	-19.373577	-2.0474334	504.38	CXCL1	C-X-C motif chemokine ligand 1
8349	6.739999999999999e-95	7.99e-97	0.098	-20.880908	-2.0470283	547.29	H2BC21	H2B clustered histone 21
23225	5.2599999999999997e-23	4.02e-24	0.202	-10.131199	-2.0465027	101.85	NUP210	nucleoporin 210
10451	0.000463	0.000146	0.5386	-3.797411	-2.045432	14.24	VAV3	vav guanine nucleotide exchange factor 3
8334	3.42e-85	4.66e-87	0.1033	-19.777418	-2.0431376	453.88	H2AC6	H2A clustered histone 6
