GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3400	2.2900000000000002e-29	1.35e-30	0.2069	11.498248	2.3792612	107.17	ID4	inhibitor of DNA binding 4
3664	2.09e-07	4.3e-08	0.4339	5.478049	2.3769292	22.78	IRF6	interferon regulatory factor 6
441869	4.37e-07	9.3e-08	0.4445	5.339981	2.3736167	21.81	ANKRD65	ankyrin repeat domain 65
126755	0.000707	0.00023	0.6399	3.683999	2.3572603	10.48	LRRC38	leucine rich repeat containing 38
57687	9.24e-11	1.39e-11	0.348	6.759368	2.3523029	35.45	VAT1L	vesicle amine transport 1 like
55026	6.76e-09	1.2e-09	0.3784	6.080435	2.3006478	30.0	TMEM255A	transmembrane protein 255A
100507127	1.85e-06	4.24e-07	0.4541	5.058011	2.2967629	20.9	LINC00707	long intergenic non-protein coding RNA 707
9723	1.83e-09	3.09e-10	0.3633	6.294135	2.2867279	31.69	SEMA3E	semaphorin 3E
728715	0.00058	0.000186	0.6117	3.737809	2.2864923	11.04	LOC728715	ovostatin homolog 2
23090	1.61e-09	2.7e-10	0.3611	6.314963	2.280619	33.0	ZNF423	zinc finger protein 423
4885	7.51e-10	1.21e-10	0.3533	6.43766	2.2745831	33.2	NPTX2	neuronal pentraxin 2
55124	2.07e-10	3.18e-11	0.3418	6.638027	2.2687856	35.2	PIWIL2	piwi like RNA-mediated gene silencing 2
5630	3.35e-05	8.9e-06	0.5098	4.442216	2.264842	15.99	PRPH	peripherin
1183	7.84e-08	1.54e-08	0.3989	5.656737	2.2566681	26.5	CLCN4	chloride voltage-gated channel 4
10631	6.25e-277	9.57e-280	0.0631	35.739689	2.2557101	3014.48	POSTN	periostin
6932	1.7999999999999997e-61	4.19e-63	0.1342	16.767879	2.2497005	244.37	TCF7	transcription factor 7
29774	1.1499999999999999e-23	8.53e-25	0.2188	10.281623	2.2494925	89.71	POM121L9P	POM121 transmembrane nucleoporin like 9, pseudogene
375295	0.000157	4.57e-05	0.5499	4.07652	2.2416127	13.91	LINC01116	long intergenic non-protein coding RNA 1116
84624	1.92e-33	9.59e-35	0.182	12.295351	2.2373752	128.48	FNDC1	fibronectin type III domain containing 1
5414	6.76e-06	1.64e-06	0.4649	4.792909	2.2282445	21.02	SEPTIN4	septin 4
285313	1.93e-06	4.44e-07	0.4389	5.04926	2.2161891	22.61	IGSF10	immunoglobulin superfamily member 10
158471	1.71e-283	2.33e-286	0.0612	36.162905	2.2119701	1687.19	PRUNE2	prune homolog 2 with BCH domain
4330	1.34e-124	9.8e-127	0.0922	23.947537	2.2090917	554.34	MN1	MN1 proto-oncogene, transcriptional regulator
81606	0.0	0.0	0.0459	47.903179	2.1999545	5423.63	LBH	LBH regulator of WNT signaling pathway
105379080	0.0112	0.0046	0.7747	2.833598	2.195272	7.09	LOC105379080	uncharacterized LOC105379080
2675	0.000639	0.000206	0.5866	3.711331	2.1769334	11.74	GFRA2	GDNF family receptor alpha 2
7045	0.0	0.0	0.0403	54.048376	2.1755137	24724.04	TGFBI	transforming growth factor beta induced
107984616	2.6e-05	6.83e-06	0.4832	4.49901	2.1740671	18.11	LOC107984616	
7092	1.4e-13	1.74e-14	0.2834	7.668282	2.1733662	57.69	TLL1	tolloid like 1
103752587	2.52e-08	4.73e-09	0.3703	5.856299	2.1684173	29.25	FOXC2-AS1	FOXC2 antisense RNA 1
646	3.44e-38	1.5e-39	0.1641	13.159714	2.1598703	169.26	BNC1	basonuclin 1
6853	4.56e-08	8.79e-09	0.375	5.752612	2.1573183	29.12	SYN1	synapsin I
2303	1.22e-63	2.71e-65	0.1258	17.06491	2.1468635	334.27	FOXC2	forkhead box C2
1590	0.000228	6.88e-05	0.5389	3.980513	2.1449672	13.79	CYP21A1P	cytochrome P450 family 21 subfamily A member 1, pseudogene
11170	0.000203	6.04e-05	0.5338	4.011168	2.1412211	14.15	FAM107A	family with sequence similarity 107 member A
3854	0.0094	0.0038	0.7369	2.894067	2.132733	7.3	KRT6B	keratin 6B
286887	0.0094	0.0038	0.7369	2.894067	2.132733	7.3	KRT6C	keratin 6C
196051	1.78e-11	2.55e-12	0.3038	7.000342	2.1269039	211.47	PLPP4	phospholipid phosphatase 4
